features,n_features,roc_auc_leah_12k_detected
"('dna_sequence_entropy', 'total_duplicated_residues', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9144956579826319
"('dna_sequence_entropy', 'esm2_full_LL_car_target', 'esmfold_plddt_binder_middle')",3,0.9143985474620313
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9143750055176432
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9143750055176431
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9143073224275277
"('dna_sequence_entropy', 'total_duplicated_residues', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9140954449280352
"('dna_sequence_entropy', 'seq_kl_vs_human', 'esmfold_plddt_binder_start')",3,0.9140042198935315
"('dna_sequence_entropy', 'longest_dup_substr_len', 'esmfold_plddt_binder_start_glycine_linker')",3,0.913954193261707
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_middle')",3,0.9138659109702518
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'total_duplicated_residues')",3,0.9138541399980576
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9137864569079421
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9137570294774571
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.913680518158196
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'longest_dup_substr_len')",3,0.913662861699905
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_end_glycine_linker')",3,0.913651090727711
"('dna_sequence_entropy', 'esm2_full_LL_car', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9135422092349162
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'esm2_full_LL_car')",3,0.9135127818044311
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'boltz_sap_score')",3,0.9134381275100402
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9133862438533455
"('dna_sequence_entropy', 'longest_dup_substr_len', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9133803583672484
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'boltz_sap_score')",3,0.9133691014056223
"('dna_sequence_entropy', 'esm2_full_LL_car', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9133303317354239
"('dna_sequence_entropy', 'esm2_full_LL_car_target', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9131714236108046
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'gravy_score')",3,0.913150824409465
"('dna_sequence_entropy', 'esmfold_plddt_binder_start')",2,0.9130919695484949
"('aa_sequence_entropy', 'gravy_score', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9130743130902039
"('aa_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'gravy_score')",3,0.9130566566319128
"('dna_sequence_entropy', 'aa_sequence_entropy', 'esmfold_plddt_binder_middle')",3,0.9129713170835063
"('aa_sequence_entropy', 'esmfold_plddt_binder_middle', 'gravy_score')",3,0.9129566033682638
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9129242331947302
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9129124622225362
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_end')",3,0.9128800920490026
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'boltz_rosetta_A_B_complex_normalized')",3,0.9128732531564947
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'boltz_sap_score')",3,0.9127353162650603
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9127094129521893
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'boltz_rosetta_A_B_complex_normalized')",3,0.9127093402270428
"('dna_sequence_entropy', 'aa_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9127064702091408
"('dna_sequence_entropy', 'esm2_full_LL_target', 'boltz_rosetta_A_B_complex_normalized')",3,0.912685924094264
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'esmfold_plddt_binder_end')",3,0.9126593863203647
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_binder_LL_target')",3,0.9125652185428125
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esmfold_plddt_binder_end')",3,0.9125593330567153
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_full_LL_target')",3,0.912556390313667
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esmfold_plddt_binder_end')",3,0.9125534475706185
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_full_LL_alone')",3,0.9125446193414728
"('dna_sequence_entropy', 'total_duplicated_residues', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9125416765984243
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.912532848369279
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esmfold_plddt_binder_end')",3,0.9125240201401335
"('dna_sequence_entropy', 'esm2_pll', 'total_duplicated_residues')",3,0.9125093845508125
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'boltz_sap_score')",3,0.9124874497991968
"('dna_sequence_entropy', 'esm2_full_LL_target', 'boltz_sap_score')",3,0.912437248995984
"('dna_sequence_entropy', 'aa_sequence_entropy', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9123709975016111
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_binder_LL_car_target')",3,0.9123651120155142
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9123327418419805
"('dna_sequence_entropy', 'seq_kl_vs_human', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.912270944237962
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9122062038908949
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'esmfold_plddt_binder_middle')",3,0.9121797192034583
"('aa_sequence_entropy', 'esm2_pll', 'gravy_score')",3,0.9121310467542754
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esm2_full_LL_car')",3,0.9120943796550518
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'boltz_sap_score')",3,0.9120827058232932
"('dna_sequence_entropy', 'esm2_pll', 'boltz_rosetta_A_BC_complex_normalized')",3,0.912081388684189
"('dna_sequence_entropy', 'esm2_pll', 'boltz_rosetta_complex_normalized')",3,0.912081388684189
"('aa_sequence_entropy', 'esmfold_plddt_binder_end', 'gravy_score')",3,0.9120031546205479
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'boltz_rosetta_A_B_complex_normalized')",3,0.9119412910718969
"('aa_sequence_entropy', 'boltz_rosetta_complex_normalized', 'gravy_score')",3,0.911938167876662
"('aa_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'gravy_score')",3,0.911938167876662
"('dna_sequence_entropy', 'esm2_full_LL_car', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9119295860443354
"('dna_sequence_entropy', 'longest_dup_substr_len', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9119237005582383
"('dna_sequence_entropy', 'esm2_full_LL_car_target', 'boltz_sap_score')",3,0.9118944528112449
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_end')",3,0.9118177618084923
"('dna_sequence_entropy', 'boltz_sap_score', 'esmfold_end_C_B_pdockq2')",3,0.9117313002008033
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_full_LL_car_target')",3,0.9117000520865519
"('dna_sequence_entropy', 'esm2_full_LL_car', 'boltz_rosetta_A_B_complex_normalized')",3,0.9116696639316625
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9116411972255818
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9116176552811939
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'boltz_rosetta_A_B_complex_normalized')",3,0.9113277883930914
"('dna_sequence_entropy', 'esm2_full_LL_car_target', 'esmfold_plddt_binder_end')",3,0.9113116100041493
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'esmfold_end_C_B_pdockq2')",3,0.911229213198791
"('dna_sequence_entropy', 'seq_kl_vs_human', 'esmfold_plddt_binder_middle')",3,0.9112174422265972
"('max_pident_cross_team_hamming', 'aa_sequence_entropy', 'gravy_score')",3,0.9111482877649573
"('dna_sequence_entropy', 'aa_sequence_entropy', 'boltz_rosetta_A_B_complex_normalized')",3,0.9110374283466337
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9110276352999686
"('dna_sequence_entropy', 'aa_sequence_entropy', 'boltz_sap_score')",3,0.9109877008032129
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9109231679217464
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'esmfold_plddt_binder_start_glycine_linker')",3,0.910908454206504
"('dna_sequence_entropy', 'esm2_full_LL_car', 'boltz_sap_score')",3,0.9108716114457831
"('dna_sequence_entropy', 'total_duplicated_residues', 'esmfold_plddt_binder_end')",3,0.9108319428872429
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_binder_LL_car')",3,0.9108172291720005
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_end')",3,0.9108025154567578
"('dna_sequence_entropy', 'aa_sequence_entropy', 'esmfold_plddt_binder_end')",3,0.9106965767070117
"('dna_sequence_entropy', 'esm2_full_LL_car_target', 'boltz_rosetta_A_B_complex_normalized')",3,0.9106534037690608
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9105347258393438
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'longest_dup_substr_len')",3,0.9104832278359951
"('dna_sequence_entropy', 'seq_kl_vs_human', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9104641000061797
"('dna_sequence_entropy', 'esm2_full_LL_car', 'esmfold_plddt_binder_end')",3,0.910419958860452
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_full_LL_car')",3,0.9104111306313065
"('dna_sequence_entropy', 'esmfold_plddt_binder_end', 'longest_dup_substr_len')",3,0.9103581612564335
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker')",2,0.9103316765689969
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'gravy_score')",3,0.9102639934788814
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9102551652497359
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'gravy_score')",3,0.9102492797636389
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'total_duplicated_residues')",3,0.9101830680450476
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle')",2,0.9101609974721836
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'gravy_score')",3,0.9101580547291354
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'esmfold_plddt_binder_end')",3,0.9100991998681651
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esm2_full_LL_car')",3,0.9100344595210981
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esm2_full_LL_car')",3,0.9099608909448853
"('dna_sequence_entropy', 'esmfold_plddt_binder_end_glycine_linker', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9099196925422064
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esm2_binder_LL_car')",3,0.9098990933408668
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9098784941395273
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9098755513964787
"('dna_sequence_entropy', 'total_duplicated_residues', 'boltz_rosetta_A_B_complex_normalized')",3,0.9098244726686898
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'boltz_rosetta_A_B_complex_normalized')",3,0.9097823236296878
"('dna_sequence_entropy', 'esmfold_plddt_binder_end', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9097195860149079
"('dna_sequence_entropy', 'esmfold_plddt_binder_end', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9096489601817439
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'aa_sequence_entropy')",3,0.9095959908068707
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9095695061194342
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9095665633763856
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9095606778902885
"('dna_sequence_entropy', 'seq_kl_vs_human', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9094841665710275
