features,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
"('esm2_full_LL_alone', 'aa_sequence_entropy', 'boltz_sap_score')",3,0.9190050685536554,0.8774598393574298,0.7994407727503813,0.8750192261211575,0.8255808563826993,0.7468833600856073
"('boltz_rosetta_A_B_complex_normalized', 'esm2_binder_LL_car', 'seq_kl_vs_human')",3,0.9190006484146496,0.8829193361058034,0.7453056768558952,0.8779504327301337,0.8339389671361502,0.6929802955665025
"('esm2_binder_LL_target', 'boltz_sap_score', 'boltz_rosetta_A_BC_side1_normalized')",3,0.918993545621634,0.8789052940696632,0.8039415562351342,0.87923158495799,0.8337261265963173,0.7057520543051089
"('esm2_binder_LL_target', 'boltz_sap_score', 'boltz_rosetta_side1_normalized')",3,0.918993545621634,0.8789052940696632,0.8039415562351342,0.87923158495799,0.8337261265963173,0.7057520543051089
"('boltz_rosetta_complex_normalized', 'aa_sequence_entropy')",2,0.9189790094947953,0.8787054409005628,0.8363914373088686,0.8764173260461701,0.8308678420563339,0.7066630939621293
"('boltz_rosetta_A_BC_complex_normalized', 'aa_sequence_entropy')",2,0.9189790094947953,0.8787054409005628,0.8363914373088686,0.8764173260461701,0.8308678420563339,0.7066630939621293
"('boltz_rosetta_A_B_complex_normalized', 'esm2_full_LL_car_target', 'seq_kl_vs_human')",3,0.9189703268662913,0.8813972874751789,0.7458515283842795,0.8779410662770222,0.8344319248826291,0.6930829228243022
"('esm2_pll', 'esm2_full_LL_target', 'esmfold_plddt_binder_middle')",3,0.9189675039888238,0.8767564627780635,0.7794465977605513,0.87553868799546,0.8306075778312919,0.7180042278990397
"('esm2_binder_LL_car_target', 'esmfold_plddt_binder_middle_glycine_linker', 'boltz_rosetta_side1_normalized')",3,0.9189651494668791,0.8771270087282812,0.830699966021067,0.8765315278570847,0.83206253160015,0.6801000357270454
"('esm2_binder_LL_car_target', 'esmfold_plddt_binder_middle_glycine_linker', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9189651494668791,0.8771270087282812,0.830699966021067,0.8765315278570847,0.83206253160015,0.6801000357270454
"('esm2_full_LL_target', 'esmfold_plddt_binder_end', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9189587265271131,0.8822253038583897,0.8129459734964322,0.8799453462762054,0.8321603901293363,0.6926759556984636
"('boltz_rosetta_A_BC_complex_normalized', 'boltz_rosetta_complex_normalized', 'aa_sequence_entropy')",3,0.9189587265271131,0.8786972836283548,0.8364763846415223,0.8764173260461701,0.8308678420563338,0.7063951411218292
"('esm2_full_LL_target', 'esmfold_plddt_binder_end', 'boltz_rosetta_side1_normalized')",3,0.9189587265271131,0.8822253038583897,0.8129459734964322,0.8799453462762054,0.8321603901293363,0.6926759556984636
"('boltz_rosetta_A_B_complex_normalized', 'esmfold_plddt_binder_end', 'seq_kl_vs_human')",3,0.9189516674519171,0.8754214903900192,0.7175764192139737,0.8781096624330299,0.8413849765258217,0.6752052545155993
"('boltz_rosetta_A_B_complex_normalized', 'esmfold_plddt_binder_middle', 'gravy_score')",3,0.9189473913361229,0.8540285114832715,0.7255458515283844,0.875060881945225,0.8407183098591549,0.6364942528735632
"('esm2_binder_LL_target', 'esmfold_plddt_binder_end', 'boltz_rosetta_side1_normalized')",3,0.9189441904002741,0.8820132147809773,0.8128610261637785,0.879884166734644,0.8319565181935317,0.6923186852447304
"('esm2_binder_LL_target', 'esmfold_plddt_binder_end', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9189441904002741,0.8820132147809773,0.8128610261637785,0.879884166734644,0.8319565181935317,0.6923186852447304
"('aa_sequence_entropy', 'boltz_rosetta_A_B_complex_normalized', 'boltz_rosetta_side1_normalized')",3,0.9189353404643396,0.8717170581844067,0.7276200873362445,0.8739275411187293,0.834924882629108,0.6668719211822659
"('aa_sequence_entropy', 'boltz_rosetta_A_B_complex_normalized', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9189353404643396,0.8717170581844067,0.7276200873362445,0.8739275411187293,0.834924882629108,0.6668719211822659
"('esm2_pll', 'seq_kl_vs_human', 'boltz_rosetta_side1_normalized')",3,0.9189143597456151,0.8759395725865882,0.8102655771195098,0.8764472283632195,0.8322399135092633,0.6819011815252417
"('esm2_pll', 'seq_kl_vs_human', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9189143597456151,0.8759395725865882,0.8102655771195098,0.8764472283632195,0.8322399135092633,0.6819011815252417
"('esm2_pll', 'boltz_rosetta_A_B_complex_normalized', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9189104245922428,0.8559061412583466,0.7489059080962801,0.8702812000376187,0.8337075471698112,0.6593564845292956
"('max_pident_cross_team_hamming', 'esm2_binder_LL_car', 'boltz_sap_score')",3,0.9188995380337142,0.8705446787148594,0.8138662938485003,0.871478480869617,0.8268941372054002,0.7473782771535581
"('esm2_pll', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_end')",3,0.9188977251372539,0.8845064760790017,0.7924741602067182,0.8793959600617163,0.8330012762541652,0.7147186918982249
"('esm2_full_LL_target', 'boltz_rosetta_side1_normalized', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9188914546843006,0.8826984256464638,0.8267074413863404,0.8782119259319683,0.8313204377538206,0.6755269739192569
"('esm2_full_LL_target', 'boltz_rosetta_A_BC_side1_normalized', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9188914546843006,0.8826984256464638,0.8267074413863404,0.8782119259319683,0.8313204377538206,0.6755269739192569
"('esm2_pll', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_middle')",3,0.9188881004680717,0.8764638421385544,0.781707579672696,0.8753997670857939,0.8310868950064391,0.710936505106589
"('esm2_pll', 'boltz_rosetta_A_C_complex_normalized', 'seq_kl_vs_human')",3,0.9188840065505813,0.8786115119448452,0.8288020390824129,0.8824221046443269,0.8333994319095342,0.7502847250694729
"('esm2_pll', 'esm2_binder_LL_car_target', 'boltz_rosetta_A_B_complex_normalized')",3,0.9188737248802183,0.8672528919401863,0.7516411378555798,0.8824038371108811,0.8436415094339622,0.6531846609611587
"('boltz_sap_score', 'gravy_score', 'esmfold_plddt_binder_end')",3,0.9188727693164609,0.8679405120481929,0.7816471784443315,0.8723385555140515,0.8378268137953198,0.725
"('esm2_binder_LL_target', 'esmfold_plddt_binder_middle', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9188671067031957,0.8793298192771084,0.7703990849008643,0.8686220285833566,0.826634571113384,0.7256554307116104
"('esm2_binder_LL_target', 'boltz_rosetta_side1_normalized', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9188657629252367,0.8824496288441145,0.8269622833843018,0.878199690023656,0.8311410304503123,0.6752947481243301
"('esm2_binder_LL_target', 'boltz_rosetta_A_BC_side1_normalized', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9188657629252367,0.8824496288441145,0.8269622833843018,0.878199690023656,0.8311410304503123,0.6752947481243301
"('esm2_pll', 'esm2_binder_LL_target', 'max_pident_cross_team_hamming')",3,0.9188467143905888,0.877675705393087,0.8610572782084409,0.8792954640845112,0.8252542402245283,0.7325217125538038
"('esm2_full_LL_target', 'esmfold_plddt_binder_middle', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9188344179811652,0.8794082580321284,0.7699542450432131,0.8686157506662439,0.8268972272779243,0.7270197966827181
"('esm2_pll', 'esm2_full_LL_target', 'max_pident_cross_team_hamming')",3,0.9188243370347405,0.8776786611571226,0.8614341085271318,0.8792688622081922,0.8254996737178266,0.7296309502585131
"('gravy_score', 'seq_kl_vs_human', 'boltz_rosetta_A_C_side1_normalized')",3,0.9188205938005388,0.8728608839719951,0.7565845369583687,0.8828763828763828,0.8509444878979118,0.6178202215938065
"('esm2_binder_LL_car', 'seq_kl_vs_human', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9188197835870919,0.8938640864695618,0.7796391752577319,0.8798448585864828,0.8387515657140231,0.6800060960896126
"('esm2_binder_LL_target', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9188171502441829,0.887575444574906,0.8471327319587629,0.8705958171850309,0.8290470116408684,0.7057112739557272
"('boltz_rosetta_A_BC_complex_normalized', 'esm2_full_LL_car_target', 'boltz_rosetta_side1_normalized')",3,0.9188055901211131,0.8806223998694838,0.8295107033639144,0.8811322293824946,0.836596643452449,0.6782779564130047
"('boltz_rosetta_A_BC_complex_normalized', 'esm2_full_LL_car_target', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9188055901211131,0.8806223998694838,0.8295107033639144,0.8811322293824946,0.836596643452449,0.6782779564130047
"('boltz_rosetta_complex_normalized', 'esm2_full_LL_car_target', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9188055901211131,0.8806223998694838,0.8295107033639144,0.8811322293824946,0.836596643452449,0.6782779564130047
"('boltz_rosetta_complex_normalized', 'esm2_full_LL_car_target', 'boltz_rosetta_side1_normalized')",3,0.9188055901211131,0.8806223998694838,0.8295107033639144,0.8811322293824946,0.836596643452449,0.6782779564130047
"('aa_sequence_entropy', 'esmfold_plddt_binder_start', 'seq_kl_vs_human')",3,0.9188054198984966,0.8914951783155151,0.8220575601374571,0.8720966161397686,0.8329598602636146,0.6845273625522296
"('esm2_binder_LL_car', 'esmfold_plddt_binder_start', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9188025014336707,0.8768135040160643,0.7937849517031013,0.866544038019066,0.8266901924188161,0.7224585339753878
"('esm2_binder_LL_car_target', 'esmfold_plddt_binder_end', 'seq_kl_vs_human')",3,0.918786268313703,0.8968391996916005,0.7802835051546391,0.8796918359479606,0.8358499672492847,0.7006311992786294
"('aa_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'seq_kl_vs_human')",3,0.918786028918893,0.8907771490116797,0.8228629725085911,0.871231449683508,0.8341463554774134,0.704822260887235
"('esm2_full_LL_target', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9187766925213061,0.8876313566928277,0.8473475085910653,0.8706399583307585,0.8293026970501373,0.7027775308297032
"('boltz_rosetta_A_B_complex_normalized', 'seq_kl_vs_human', 'esm2_full_LL_car')",3,0.9187720705885647,0.8821044546850998,0.7465065502183407,0.8778286688396837,0.8334319248826291,0.6963259441707718
"('seq_kl_vs_human', 'esmfold_plddt_binder_end_glycine_linker', 'esm2_full_LL_car')",3,0.9187632864119506,0.8928370691456334,0.7811963058419245,0.8790091195607074,0.8373697153560634,0.6903567482441992
"('boltz_rosetta_A_B_complex_normalized', 'esmfold_plddt_binder_middle_glycine_linker', 'seq_kl_vs_human')",3,0.918755743600987,0.8743115656963021,0.740938864628821,0.8762410550372784,0.8389718309859154,0.6647167487684729
"('esm2_binder_LL_car', 'gravy_score', 'esm2_full_LL_car')",3,0.9187541894091736,0.8791974551158117,0.7890893470790378,0.8774494657449995,0.8427850748669862,0.7133567863447593
"('aa_sequence_entropy', 'boltz_rosetta_A_B_complex_normalized', 'boltz_sap_score')",3,0.9187401940890085,0.870602450264134,0.7177947598253275,0.874817354164325,0.8331596244131456,0.703448275862069
"('boltz_rosetta_A_BC_complex_normalized', 'esm2_binder_LL_car', 'boltz_sap_score')",3,0.9187389943772233,0.879133697691492,0.8350322799864084,0.8803205807977812,0.8295100549638739,0.720757413361915
"('boltz_rosetta_complex_normalized', 'esm2_binder_LL_car', 'boltz_sap_score')",3,0.9187389943772233,0.879133697691492,0.8350322799864084,0.8803205807977812,0.8295100549638739,0.720757413361915
"('max_pident_cross_team_hamming', 'esm2_binder_LL_car', 'boltz_rosetta_side1_normalized')",3,0.918738656327762,0.878811485439269,0.8294257560312606,0.8735133371400603,0.8308148353530247,0.6820828867452662
"('max_pident_cross_team_hamming', 'esm2_binder_LL_car', 'boltz_rosetta_A_BC_side1_normalized')",3,0.918738656327762,0.878811485439269,0.8294257560312606,0.8735133371400603,0.8308148353530247,0.6820828867452662
"('esm2_binder_LL_target', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9187352772191898,0.8877814365883016,0.8405283505154639,0.8711137399615677,0.829500925064065,0.6935063945439998
"('esm2_full_LL_alone', 'esmfold_plddt_binder_end', 'seq_kl_vs_human')",3,0.9187345590347602,0.8963389333733546,0.8118019759450172,0.8795093858789533,0.8345112099378311,0.7004787970383165
"('esm2_full_LL_car_target', 'esmfold_plddt_binder_start_glycine_linker', 'boltz_rosetta_side1_normalized')",3,0.9187312192396119,0.8747654784240151,0.8238192320761127,0.8754873970144383,0.8301991421068942,0.6851911396927474
"('esm2_full_LL_car_target', 'esmfold_plddt_binder_start_glycine_linker', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9187312192396119,0.8747654784240151,0.8238192320761127,0.8754873970144383,0.8301991421068942,0.6851911396927474
"('esm2_full_LL_alone', 'boltz_sap_score', 'boltz_rosetta_side1_normalized')",3,0.9187217538546935,0.8761073497022596,0.8123513421678559,0.876829268292683,0.8312388889794986,0.7204537334762415
"('esm2_full_LL_alone', 'boltz_sap_score', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9187217538546935,0.8761073497022596,0.8123513421678559,0.876829268292683,0.8312388889794986,0.7204537334762415
"('boltz_rosetta_A_B_complex_normalized', 'seq_kl_vs_human', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9187215346746342,0.8742413172979656,0.7183406113537119,0.8765220486306247,0.8401971830985915,0.6692733990147783
"('esm2_full_LL_alone', 'gravy_score', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9187194771617351,0.8863336070084369,0.8223797250859106,0.8827993726071821,0.8374271727514048,0.6896963385361764
"('esm2_pll', 'esm2_binder_LL_target', 'esmfold_plddt_binder_end')",3,0.9187189469071968,0.8839567039684089,0.7911821705426357,0.8788787013555133,0.8321956769055745,0.719952627155337
"('boltz_rosetta_A_BC_complex_normalized', 'boltz_rosetta_complex_normalized', 'esm2_full_LL_car_target')",3,0.9187166831127731,0.8808467248552083,0.8326537546721033,0.8816339016232972,0.8363438422520509,0.6780814576634513
"('esm2_pll', 'esm2_full_LL_target', 'esmfold_plddt_binder_end')",3,0.918713412722417,0.8839212347999833,0.7906438415159346,0.878976241568683,0.8324382229460104,0.7186536943178057
"('esm2_binder_LL_car', 'gravy_score', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9187054648336271,0.880148719879518,0.793403660396543,0.8817146247218097,0.8434105748461918,0.7462680577849117
"('boltz_rosetta_A_BC_complex_normalized', 'esm2_full_LL_car_target')",2,0.918703837233241,0.8808426462191044,0.8325688073394495,0.8816298229871931,0.8363356873746188,0.6776170060735978
"('boltz_rosetta_complex_normalized', 'esm2_full_LL_car_target')",2,0.918703837233241,0.8808426462191044,0.8325688073394495,0.8816298229871931,0.8363356873746188,0.6776170060735978
"('boltz_sap_score', 'gravy_score', 'esm2_full_LL_car')",3,0.918703663093043,0.8762487449799196,0.7851423487544484,0.8814132847004021,0.8407098514602138,0.727956126270733
"('boltz_rosetta_complex_normalized', 'esm2_binder_LL_car', 'esm2_full_LL_car_target')",3,0.918695724046168,0.8806550289583163,0.832059123343527,0.8818092829757729,0.8366088757685973,0.6786352268667382
"('boltz_rosetta_A_BC_complex_normalized', 'esm2_binder_LL_car', 'esm2_full_LL_car_target')",3,0.918695724046168,0.8806550289583163,0.832059123343527,0.8818092829757729,0.8366088757685973,0.6786352268667382
"('esm2_pll', 'esmfold_plddt_binder_end', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9186953664677007,0.8831113554542713,0.7841838931955212,0.8766027630482204,0.8322563134156835,0.7122354379441205
"('esm2_full_LL_target', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9186888346260654,0.8878373487062229,0.8410652920962199,0.8712579343709443,0.82979970351984,0.6898995415232603
"('esm2_pll', 'esmfold_plddt_binder_start', 'esmfold_plddt_binder_end')",3,0.9186867042654367,0.8788018514905918,0.7878445305770887,0.8758224413428628,0.8327933796480771,0.7055752234928558
"('esmfold_plddt_binder_middle', 'gravy_score', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9186794976720224,0.8625744351088995,0.799184505606524,0.8721959376784403,0.8393489145858137,0.6955519828510182
"('esmfold_plddt_binder_middle', 'gravy_score', 'boltz_rosetta_side1_normalized')",3,0.9186794976720224,0.8625744351088995,0.799184505606524,0.8721959376784403,0.8393489145858137,0.6955519828510182
"('esm2_pll', 'esm2_binder_LL_car_target', 'max_pident_cross_team_hamming')",3,0.9186792451468208,0.8790530914336047,0.8590116279069768,0.8797329171617572,0.8246738621991996,0.7050148995237246
"('aa_sequence_entropy', 'esmfold_plddt_binder_start', 'boltz_rosetta_A_C_side1_normalized')",3,0.9186778042514923,0.8659184436962215,0.8271028037383177,0.8770723104056438,0.8432675102591851,0.6261415789717677
"('esm2_full_LL_car_target', 'seq_kl_vs_human', 'boltz_rosetta_side1_normalized')",3,0.9186754410784859,0.8757973733583488,0.8089534488617057,0.8758585528999101,0.8347495637140573,0.6864773133261879
"('esm2_full_LL_car_target', 'seq_kl_vs_human', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9186754410784859,0.8757973733583488,0.8089534488617057,0.8758585528999101,0.8347495637140573,0.6864773133261879
"('esm2_pll', 'esmfold_plddt_binder_middle', 'esmfold_plddt_binder_end')",3,0.9186720266449341,0.8770490834175726,0.7841300602928509,0.8758017509946145,0.831990667752349,0.7126302116496447
"('esm2_pll', 'esm2_full_LL_target', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9186547022404066,0.8871932655872217,0.7859065460809648,0.878320061952814,0.831912706525066,0.7006469194916334
"('boltz_rosetta_A_BC_complex_normalized', 'esm2_full_LL_car_target', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9186531298140355,0.8808793539440412,0.8321440706761808,0.8816787666204422,0.8361929770195553,0.6746516613076099
"('boltz_rosetta_complex_normalized', 'esm2_full_LL_car_target', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9186531298140355,0.8808793539440412,0.8321440706761808,0.8816787666204422,0.8361929770195553,0.6746516613076099
"('esm2_pll', 'esm2_binder_LL_target', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9186515742229223,0.8871666637109026,0.7863372093023256,0.8782373005598215,0.8315229003886511,0.7030919695387516
"('esm2_full_LL_alone', 'aa_sequence_entropy', 'boltz_rosetta_A_C_complex_normalized')",3,0.9186245907549531,0.8793650793650792,0.840696686491079,0.8783977339532895,0.8376691560146146,0.657549487738167
"('boltz_rosetta_A_C_complex_normalized', 'esmfold_plddt_binder_start', 'seq_kl_vs_human')",3,0.9186210431885172,0.8652236652236651,0.8264655904842821,0.8784779007001229,0.843256795705607,0.6203235825877336
"('esm2_binder_LL_car', 'seq_kl_vs_human', 'boltz_rosetta_side1_normalized')",3,0.9186179726700532,0.8779264214046822,0.8159191301393135,0.8769516273758056,0.8351776947792473,0.6889067524115756
"('esm2_binder_LL_car', 'seq_kl_vs_human', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9186179726700532,0.8779264214046822,0.8159191301393135,0.8769516273758056,0.8351776947792473,0.6889067524115756
"('esm2_full_LL_target', 'aa_sequence_entropy', 'boltz_rosetta_A_C_complex_normalized')",3,0.918608183260187,0.8821388488055155,0.8355989804587935,0.8793971460638126,0.8384834620865522,0.6649900329145612
"('esm2_binder_LL_target', 'aa_sequence_entropy', 'boltz_rosetta_A_C_complex_normalized')",3,0.918580246174504,0.8820426487093155,0.8359175870858113,0.8791833680722569,0.8380388081130601,0.6663344304853739
"('seq_kl_vs_human', 'esmfold_plddt_binder_end_glycine_linker', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9185698195067761,0.8834086345381525,0.8178063040162684,0.8728596226344024,0.8297555443626261,0.697418405564473
"('max_pident_cross_team_hamming', 'aa_sequence_entropy', 'esmfold_plddt_binder_middle')",3,0.9185641099300967,0.89426135678111,0.8334407216494845,0.8738387200244835,0.8360596867422806,0.6765770456825716
"('esm2_pll', 'esm2_binder_LL_target', 'esmfold_plddt_binder_start')",3,0.9185435373113535,0.8783111946607078,0.787898363479759,0.8752372000638444,0.8308847733060758,0.7172019458523291
"('esm2_pll', 'esmfold_plddt_binder_end_glycine_linker', 'boltz_rosetta_A_C_side1_normalized')",3,0.9185398926062951,0.8768531879642991,0.8254035683942227,0.8775853775853776,0.8313200064312128,0.7451141178078448
"('esm2_full_LL_alone', 'gravy_score', 'boltz_rosetta_A_C_side1_normalized')",3,0.9185283630153782,0.8784885895997007,0.8180756159728122,0.8793918016140239,0.8410924558828256,0.7193222381901627
"('esm2_pll', 'esm2_full_LL_target', 'esmfold_plddt_binder_start')",3,0.9185194756383982,0.8784678501545864,0.7875215331610681,0.8754736611866801,0.8311590813279974,0.7141074293864453
"('esm2_pll', 'boltz_rosetta_A_B_complex_normalized', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9185082894498479,0.8629455468823474,0.7571115973741794,0.8780024452177183,0.8404386792452829,0.6426925608953258
"('esm2_pll', 'boltz_rosetta_A_B_complex_normalized', 'boltz_rosetta_side1_normalized')",3,0.9185082894498479,0.8629455468823474,0.7571115973741794,0.8780024452177183,0.8404386792452829,0.6426925608953258
"('esm2_binder_LL_car', 'boltz_sap_score', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9185077881523718,0.8775602409638553,0.8096085409252668,0.8691430957037075,0.8271011720645083,0.7350588550026752
"('esmfold_plddt_binder_middle', 'boltz_rosetta_A_BC_side1_normalized', 'esm2_full_LL_car')",3,0.9184993173091129,0.8677665388694021,0.8185524974515801,0.8731503385267967,0.8286782574657904,0.6968381564844587
"('esmfold_plddt_binder_middle', 'boltz_rosetta_side1_normalized', 'esm2_full_LL_car')",3,0.9184993173091129,0.8677665388694021,0.8185524974515801,0.8731503385267967,0.8286782574657904,0.6968381564844587
"('esm2_pll', 'esm2_full_LL_car_target', 'esmfold_plddt_binder_end')",3,0.9184939702650657,0.8830551959375978,0.7971576227390181,0.8785387884914371,0.8324180107759742,0.7153936275883147
"('esm2_pll', 'boltz_rosetta_A_B_complex_normalized', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9184809598770638,0.857490830433556,0.7654266958424507,0.8708830997836923,0.832872641509434,0.6587598749177089
"('esmfold_plddt_binder_middle', 'esm2_full_LL_car_target', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9184799898690702,0.8771084337349397,0.7790416878495171,0.8667104028225516,0.8249937426031388,0.742402354200107
"('esm2_binder_LL_car_target', 'boltz_sap_score', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9184678787092055,0.8746104902520597,0.8207611281005777,0.8758626315360143,0.8325232821750689,0.7167202572347267
"('esm2_binder_LL_car_target', 'boltz_sap_score', 'boltz_rosetta_side1_normalized')",3,0.9184678787092055,0.8746104902520597,0.8207611281005777,0.8758626315360143,0.8325232821750689,0.7167202572347267
"('esm2_binder_LL_target', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_end')",3,0.9184614095566408,0.890818347414359,0.8501396048109966,0.8705958171850309,0.826403971455166,0.7087339183886003
"('esm2_pll', 'boltz_rosetta_A_B_complex_normalized', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9184602674862414,0.864751246120568,0.7632385120350109,0.8786466660396879,0.8418254716981133,0.6522588874259382
"('esm2_full_LL_car_target', 'esmfold_plddt_binder_end', 'seq_kl_vs_human')",3,0.9184451307095662,0.8959004646591273,0.7874785223367697,0.878732501714148,0.8348645729191804,0.6994246815428187
"('esm2_pll', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9184432001351304,0.8874031248337382,0.7875753660637381,0.8779180780439936,0.8324295605874235,0.6911850851947126
"('esm2_binder_LL_car_target', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9184357943119793,0.8873341396449285,0.8469716494845361,0.870940118121706,0.8307420048034383,0.6775803604312983
"('esm2_full_LL_target', 'esmfold_plddt_binder_start_glycine_linker', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9184143550334968,0.8857461094377511,0.7804397559735639,0.8684431079456458,0.8247187261485027,0.7189941144997324
"('esmfold_plddt_binder_start', 'boltz_rosetta_A_BC_side1_normalized', 'esm2_full_LL_car')",3,0.91840973420185,0.8736275389509747,0.8072545022086307,0.8746594338853088,0.8277322916836561,0.6946409431939979
"('esmfold_plddt_binder_start', 'boltz_rosetta_side1_normalized', 'esm2_full_LL_car')",3,0.91840973420185,0.8736275389509747,0.8072545022086307,0.8746594338853088,0.8277322916836561,0.6946409431939979
"('esm2_binder_LL_target', 'esmfold_plddt_binder_start_glycine_linker', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9184035445899906,0.8856896335341365,0.7810752414844941,0.868245353556597,0.8243942685334824,0.7184055644729802
"('aa_sequence_entropy', 'boltz_rosetta_A_B_complex_normalized', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9184031584168731,0.870059195983665,0.727292576419214,0.8746628076879848,0.8361032863849766,0.6627257799671592
"('esmfold_plddt_binder_middle', 'gravy_score', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9184007132833581,0.8665756777108433,0.7827275038129131,0.8711614460554278,0.8407160316052618,0.7184189406099518
"('esm2_pll', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_start')",3,0.9183996485070816,0.8788609667713008,0.7875215331610681,0.8755386879954601,0.8311330942522364,0.7030792349030894
"('boltz_rosetta_A_B_complex_normalized', 'seq_kl_vs_human', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9183914962828891,0.8729019145030159,0.7116812227074235,0.8750889813045596,0.8392676056338029,0.6659893267651888
"('max_pident_cross_team_hamming', 'aa_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9183871971655656,0.8936639799422634,0.833655498281787,0.8724938864513168,0.8357178152399996,0.6758023342943141
"('esm2_pll', 'esmfold_plddt_binder_middle_glycine_linker', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9183845324367339,0.8713583886023089,0.8312053115423902,0.8705109309751903,0.8242829295460875,0.6865019692087361
"('esm2_pll', 'esmfold_plddt_binder_middle_glycine_linker', 'boltz_rosetta_side1_normalized')",3,0.9183845324367339,0.8713583886023089,0.8312053115423902,0.8705109309751903,0.8242829295460875,0.6865019692087361
"('esm2_full_LL_target', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_end')",3,0.9183687637652015,0.8908742595322804,0.8500322164948454,0.8705575615254002,0.8266338010365314,0.7057366743291127
"('esmfold_plddt_binder_start', 'gravy_score', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9183425428016345,0.870438002008032,0.798741738688358,0.8701255897318387,0.8404255647880056,0.6994114499732478
"('boltz_rosetta_A_B_complex_normalized', 'esmfold_plddt_binder_start', 'gravy_score')",3,0.9183300757105739,0.8514808362369338,0.7091703056768559,0.8730236783934661,0.8399154929577466,0.6242405582922824
"('aa_sequence_entropy', 'esmfold_plddt_binder_end_glycine_linker', 'boltz_rosetta_A_C_side1_normalized')",3,0.9183252648369206,0.8647693869916093,0.8374044180118946,0.8744802522580299,0.8404495826681382,0.6336980204904733
"('esm2_binder_LL_car_target', 'esmfold_plddt_binder_end', 'boltz_rosetta_side1_normalized')",3,0.9183238696386623,0.8778040623215597,0.8190621814475024,0.8763153601435679,0.8316710974834048,0.6973026080743122
"('esm2_binder_LL_car_target', 'esmfold_plddt_binder_end', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9183238696386623,0.8778040623215597,0.8190621814475024,0.8763153601435679,0.8316710974834048,0.6973026080743122
