features,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'boltz_rosetta_complex_normalized')",3,0.9352672466919325,0.9091810098702994,0.8330784913353722,0.9162859939636185,0.867662649030385,0.6962486602357985
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9352672466919325,0.9091810098702994,0.8330784913353722,0.9162859939636185,0.867662649030385,0.6962486602357985
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esm2_full_LL_target')",3,0.935246625674789,0.9092381107757566,0.8336731226639483,0.9162819153275144,0.8676830362239655,0.6962129331904252
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esm2_full_LL_target')",3,0.935246625674789,0.9092381107757566,0.8336731226639483,0.9162819153275144,0.8676830362239655,0.6962129331904252
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_start')",3,0.9352023959651462,0.9170198804689024,0.794250645994832,0.9171854032548873,0.8733361052880813,0.7147950997121972
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_end')",3,0.9351174582596143,0.918675108328752,0.7936584840654608,0.9175046257707155,0.8728019265085497,0.7165142755265772
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.935015677383014,0.9210249407369311,0.794681309216193,0.9173213684005178,0.8732177197207255,0.7115095637113822
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esm2_binder_LL_car_target')",3,0.935006610557217,0.907700464964516,0.841063540604825,0.9146096745248389,0.8677156557336942,0.7009467667023938
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esm2_binder_LL_car_target')",3,0.935006610557217,0.907700464964516,0.841063540604825,0.9146096745248389,0.8677156557336942,0.7009467667023938
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'boltz_rosetta_side1_normalized')",3,0.9349941027271466,0.9041479729178563,0.8227998640842678,0.9126233787421486,0.8705984049059743,0.6938906752411576
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9349941027271466,0.9041479729178563,0.8227998640842678,0.9126233787421486,0.8705984049059743,0.6938906752411576
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_middle')",3,0.9349779005564742,0.9146996057010777,0.7890826873385013,0.9162632048758284,0.873699924348735,0.7150497924254388
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9349717514124294,0.9151165767658667,0.8046069587628866,0.9101639402152323,0.8681582606497283,0.759623566466427
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9349715120176194,0.9154343930151051,0.7693835910652921,0.9099432344865943,0.8680376001195114,0.7776197310100459
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9349430240352389,0.9154755914177841,0.7691151202749141,0.9099844328892732,0.8680117442916078,0.7764513138343134
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9349417050606341,0.9044008483563095,0.8419979612640164,0.9102251407129457,0.8674180027074193,0.6837620578778135
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9349417050606341,0.9044008483563095,0.8419979612640164,0.9102251407129457,0.8674180027074193,0.6837620578778135
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9348870056497176,0.9143750055176432,0.8383805841924399,0.9083953516430805,0.8688218935659209,0.7241773454069775
"('dna_sequence_entropy', 'boltz_sap_score', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9347888308556827,0.9162399598393575,0.7941662430096594,0.9101033659052601,0.8701829631941461,0.7439539860888176
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_middle')",3,0.9347385808675668,0.9162848457561231,0.8322594501718213,0.9088514768155989,0.8691522735891336,0.7302861352061876
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9347100690529949,0.9179091365461847,0.780884595831215,0.9111549170216305,0.8704919704465462,0.7442616372391653
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9346844494205326,0.9042417815482504,0.8404689092762487,0.910057916632678,0.8674628545332964,0.6817256162915327
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9346844494205326,0.9042417815482504,0.8404689092762487,0.910057916632678,0.8674628545332964,0.6817256162915327
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esmfold_plddt_binder_start_glycine_linker')",3,0.93460835009097,0.9155462172509484,0.7698131443298969,0.9094488536544454,0.868026108640443,0.7680310900570237
"('dna_sequence_entropy', 'boltz_sap_score', 'esmfold_plddt_binder_end')",3,0.9346063402736383,0.9151826054216867,0.7587061514997459,0.9106809342796247,0.8721142585216476,0.7431246655965756
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esm2_full_LL_car_target')",3,0.9346046697476494,0.9067705359327841,0.8383452259599049,0.9140345868341627,0.8670021039583774,0.6956413004644515
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esm2_full_LL_car_target')",3,0.9346046697476494,0.9067705359327841,0.8383452259599049,0.9140345868341627,0.8670021039583774,0.6956413004644515
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9345544862587378,0.9155815301675303,0.7696520618556701,0.909457681883591,0.8679255581985957,0.7661006616797267
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9345413195441923,0.9155756446814334,0.7999892611683849,0.9098755513964788,0.8680031256823065,0.7490824115114493
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'boltz_rosetta_A_BC_side1_normalized')",3,0.9345265803220733,0.9031119993474181,0.8366462793068297,0.9085936862713109,0.8678502112113257,0.6808681672025724
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'boltz_rosetta_side1_normalized')",3,0.9345265803220733,0.9031119993474181,0.8366462793068297,0.9085936862713109,0.8678502112113257,0.6808681672025724
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esm2_binder_LL_car')",3,0.9344741826555611,0.9069499959213639,0.8381753312945974,0.9138102618484378,0.8665250436285942,0.7029653447659878
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esm2_binder_LL_car')",3,0.9344741826555611,0.9069499959213639,0.8381753312945974,0.9138102618484378,0.8665250436285942,0.7029653447659878
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9344620798621085,0.9148605581206466,0.7678264604810996,0.9092693463284867,0.8683019041380816,0.7631415181803173
"('dna_sequence_entropy', 'esm2_full_LL_car_target', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9344031887388681,0.914572169301893,0.7787263745704467,0.9091369228913039,0.868316268486917,0.761515894283646
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9343869098917936,0.913680518158196,0.7763638316151202,0.9086513702883005,0.8683679801427241,0.760918985509087
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9343423433656272,0.9043641406313732,0.8496432212028542,0.9093400766783588,0.8661866162151584,0.6779742765273312
