features,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Detected (Down),roc_auc_4class_Detected (Not Sig),roc_auc_4class_Detected (Up),roc_auc_4class_Not Detected
"('aa_sequence_entropy', 'seq_kl_vs_human', 'num_disulfide_within_chain', 'boltz_rosetta_A_BC_complex_normalized')",4,0.920079360491551,0.8790031813361612,0.8352871219843697,0.8443315446968833,0.6574133619149696,0.8672567093563912
"('seq_kl_vs_human', 'num_disulfide_within_chain', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9196682923465265,0.8789501590668081,0.8476894325518178,0.8443111575033028,0.6478385137549125,0.8704339668814749
"('num_disulfide_within_chain', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9193660761280626,0.889611713842891,0.8413183826027864,0.8412856979759595,0.6731868524473026,0.8690798596949181
"('aa_sequence_entropy', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9193126643131664,0.8953095684803001,0.837580699966021,0.8436465349925789,0.64183637013219,0.8737172689452647
"('aa_sequence_entropy', 'num_disulfide_within_chain', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9192464066187381,0.878052859123909,0.8417431192660549,0.8428881313913853,0.6430153626295105,0.8652704135737009
"('aa_sequence_entropy', 'seq_kl_vs_human', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9191821772210779,0.8797414144710007,0.8336731226639483,0.8430797710110417,0.6357806359414075,0.8675340566114692
"('gravy_score', 'seq_kl_vs_human', 'num_disulfide_within_chain')",3,0.9182330269079767,0.8943054979268374,0.7969555412371134,0.8479145838360855,0.622296447757782,0.8767579211286008
"('seq_kl_vs_human', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9182244830970199,0.8977281996900237,0.8329085966700644,0.8438055551025068,0.6349589138978207,0.875556733828208
"('gravy_score', 'seq_kl_vs_human', 'esm2_full_LL_target')",3,0.9179043378339558,0.8990050585753003,0.7786726804123711,0.8474735983268408,0.6415880313440607,0.8828729411833947
"('gravy_score', 'num_disulfide_within_chain', 'esm2_full_LL_target')",3,0.9177015704299533,0.8891851250224385,0.7932237972508591,0.8385131175233564,0.6751292243995988,0.8736562699554764
"('aa_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized')",2,0.9174631957100171,0.8787054409005628,0.8387699626231736,0.8411715296919088,0.6089317613433369,0.8656048617342362
"('seq_kl_vs_human', 'boltz_rosetta_A_BC_complex_normalized')",2,0.9164716966398221,0.8804429398809039,0.8257730207271492,0.8416975192862852,0.60827081100393,0.8683660983767029
"('gravy_score', 'esm2_full_LL_target')",2,0.914051278368285,0.8806776548692097,0.7757731958762887,0.8328190896450282,0.6853147741271797,0.8685506107663197
"('esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",2,0.9134546051971048,0.8887062566277838,0.8336731226639483,0.8297750884804201,0.6438906752411575,0.8618443592462681
"('gravy_score', 'seq_kl_vs_human')",2,0.9127791343483673,0.8832672687518943,0.7420264175257733,0.8369057468886819,0.6184228908164949,0.866093420320818
"('gravy_score', 'num_disulfide_within_chain', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9122626427963181,0.8635084427767354,0.8558443764865783,0.8295263647187383,0.6395855662736692,0.8500734154498735
"('gravy_score', 'boltz_rosetta_A_BC_complex_normalized')",2,0.9082134863480414,0.8614364956358593,0.8388549099558273,0.8264275112945052,0.5756877456234369,0.8466065747613998
"('aa_sequence_entropy', 'seq_kl_vs_human', 'num_disulfide_within_chain', 'esm2_full_LL_target')",4,0.9069752465766543,0.8744154976619907,0.8376288659793815,0.8113242780478275,0.6371683663749856,0.8503056038655873
"('aa_sequence_entropy', 'num_disulfide_within_chain', 'esm2_full_LL_target')",3,0.9061787800440487,0.87431838714139,0.8287693298969072,0.8123470196849036,0.6151716430231524,0.8497965093181958
"('seq_kl_vs_human', 'num_disulfide_within_chain', 'esm2_full_LL_target')",3,0.9056116537393468,0.8749775615842552,0.8112650343642612,0.8116086921547673,0.6162384587053429,0.8502761764351022
"('aa_sequence_entropy', 'seq_kl_vs_human', 'esm2_full_LL_target')",3,0.9050368668007277,0.8678266959763874,0.8314540378006873,0.8089742705783661,0.6410673236896581,0.847380517275373
"('aa_sequence_entropy', 'esm2_full_LL_target')",2,0.9043821219955951,0.869221556181379,0.8207152061855669,0.8126084508337068,0.6427564485197932,0.847869012621425
"('seq_kl_vs_human', 'esm2_full_LL_target')",2,0.9020511347313991,0.8697836201036435,0.7840420962199314,0.8112668206524861,0.6318723885241113,0.8487606637651219
"('num_disulfide_within_chain', 'esm2_full_LL_target')",2,0.9003689074020875,0.8590808636362299,0.7996134020618557,0.7935383413199113,0.6288116435311598,0.8363511163295755
