global_id,E:T=(X:1),ratio,mfi-1,mfi-2,mfi-3,mfi-norm-1,mfi-norm-2,mfi-norm-3,mfi-auc-1,mfi-auc-2,mfi-auc-3,count-1,count-2,count-3,foldexp-1,foldexp-2,foldexp-3,foldexp-auc-1,foldexp-auc-2,foldexp-auc-3
scFv,1:00,0.00,141,128,142,1,1,1,27.83411209,25.95840722,27.49407567,,,,1.37027322,0.8828334,0.87911934,33.64144811,22.78752994,20.53821343
scFv,4:01,0.25,31.2,30.6,42.6,4.519230769,4.183006536,3.333333333,,,,,,,4.2,2.9826785,2.06015987,,,
scFv,1:01,1.00,20.1,19.6,20.1,7.014925373,6.530612245,7.064676617,,,,,,,8.58491803,5.98943811,5.58140513,,,
scFv,1:04,4.00,17.2,16.7,17.1,8.197674419,7.664670659,8.304093567,,,,,,,10.1822951,6.63709337,5.95540597,,,
Control,1:00,0.00,113,113,119,1,1,1,8.016794083,8.004715984,7.774143221,,,,1.16599866,0.94224022,0.92501325,4.553565454,3.753609984,3.85787627
Control,4:01,0.25,76.5,77,66.1,1.477124183,1.467532468,1.800302572,,,,,,,0.6753507,0.54898785,0.49602544,,,
Control,1:01,1.00,56.1,59.1,74.4,2.01426025,1.912013536,1.599462366,,,,,,,1.09819639,1.01214575,0.95230525,,,
Control,1:04,4.00,50.2,47.6,47.6,2.250996016,2.37394958,2.5,,,,,,,1.34068136,0.9757085,1.1391097,,,
1304,1:00,0.00,154,159,163,1,1,1,5.302741515,5.236570149,5.23164353,,,,1.14951768,0.94764745,0.93038386,4.677853703,4.253810471,4.360035795
1304,4:01,0.25,147,153,147,1.047619048,1.039215686,1.108843537,,,,,,,0.78938907,0.77468522,0.67469096,,,
1304,1:01,1.00,122,123,129,1.262295082,1.292682927,1.263565891,,,,,,,1.20900322,1.08813784,1.14443722,,,
1304,1:04,4.00,101,110,112,1.524752475,1.445454545,1.455357143,,,,,,,1.24839228,1.13850232,1.17371503,,,
1506,1:00,0.00,96.5,103,101,1,1,1,16.48446706,17.77618968,17.30707714,,,,1.07963996,1.01639495,0.91751892,10.99905831,10.9940361,10.30410743
1506,4:01,0.25,59.5,56.2,66.1,1.621848739,1.832740214,1.527987897,,,,,,,1.53478133,1.37247859,1.04814168,,,
1506,1:01,1.00,26.1,26.2,26.8,3.697318008,3.93129771,3.768656716,,,,,,,2.27296742,2.01906604,2.15739586,,,
1506,1:04,4.00,16.8,16.5,16.2,5.744047619,6.242424242,6.234567901,,,,,,,3.88993249,4.26333241,3.74681966,,,
